Source,Target,Test Case Number,Migrate,TP,FP,TN,FN
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,11,"0, 1, 2, 3, 4, 9, 10","0, 1, 2, 3, 4, 9, 10",,"5, 6, 7, 8"
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,11,"0, 1, 2, 3, 4, 9, 10","0, 1, 2, 3, 4, 9, 10",,"5, 6, 7, 8"
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,5,"0, 1, 2, 3","0, 1, 2, 3",,4
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,5,"0, 2, 4","0, 2, 4",,"1, 3"
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,5,"0, 1, 2, 3, 4","0, 1, 2, 3, 4",,
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,5,"0, 2, 4","0, 2, 4",,"1, 3"
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,5,"0, 2, 4","0, 2, 4",,"1, 3"
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,5,"0, 2, 4","0, 2, 4",,"1, 3"
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,5,"0, 1, 2, 3, 4","0, 1, 2, 3, 4",,
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,5,"0, 1, 2, 3, 4","0, 1, 2, 3, 4",,
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,5,"0, 1, 2, 3, 4","0, 1, 2, 3, 4",,
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,9,"0, 4, 5","0, 4, 5",,"1, 2, 7, 8"
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,9,"0, 1, 3, 4, 5, 7, 8","0, 1, 3, 4, 5, 7, 8",,
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,9,"0, 1, 3, 4, 5","0, 1, 3, 4, 5",,"2, 6, 7, 8"
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,9,"0, 1, 3, 4, 5, 7, 8","0, 1, 3, 4, 5, 7, 8",,"2, 6"
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,9,"0, 1, 3, 4, 5","0, 1, 3, 4, 5",,"7, 8"
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,9,"0, 1, 4, 5, 7, 8","0, 1, 4, 5, 7, 8",,"3, 6"
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,9,"0, 1, 3, 4, 5, 7, 8","0, 1, 3, 4, 5, 7, 8",,
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,9,"0, 1, 4, 5, 7, 8","0, 1, 4, 5, 7, 8",,"2, 3, 6"
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,9,"0, 1, 3, 4, 5, 7, 8","0, 1, 3, 4, 5, 7, 8",,
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,12,"0, 3, 9","0, 3, 9",,"1, 2, 4, 5, 6, 7, 8, 10, 11"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,12,"0, 3, 9, 11","0, 3, 9, 11",,"1, 2, 4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,12,"0, 1, 3, 9, 11","0, 1, 3, 9, 11",,"4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,12,"0, 3, 9, 11","0, 3, 9, 11",,"1, 2, 4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,12,"0, 3, 9, 11","0, 3, 9, 11",,"1, 2, 4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,12,"0, 1, 2, 3, 9, 11","0, 1, 2, 3, 9, 11",,"4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,12,"0, 3, 9, 11","0, 3, 9, 11",,"1, 2, 4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,12,"0, 1, 2, 3, 9, 11","0, 1, 2, 3, 9, 11",,"4, 5, 6, 7, 8, 10"
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,12,"0, 1, 2, 3, 9, 11","0, 1, 2, 3, 9, 11",,"4, 5, 6, 7, 8, 10"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,7,0,0,,"1, 2, 3, 4, 5, 6"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,7,"0, 5","0, 5",,"1, 2, 3, 4, 6"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,7,"0, 2, 3, 5","0, 2, 3, 5",,1
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,7,"0, 5, 6","0, 5, 6",,"1, 2, 3, 4"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,7,"0, 5","0, 5",,"1, 2, 3, 4, 6"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,7,"0, 1, 3, 5","0, 3, 5",1,2
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,7,"0, 5","0, 5",,"1, 2, 3"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,7,"0, 3, 5","0, 3, 5",,"1, 2, 4, 6"
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,7,"0, 3, 5","0, 3, 5",,"1, 2, 4, 6"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,7,"0, 4, 5, 6","0, 4, 5, 6",,"1, 2, 3"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,7,"0, 4","0, 4",,"1, 2, 3, 5, 6"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,7,"0, 4, 5, 6","0, 4, 5, 6",,"1, 2, 3"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,7,"0, 4, 5, 6","0, 4, 5, 6",,"1, 2, 3"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,7,"0, 4","0, 4",,"1, 2, 3, 5, 6"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,7,"0, 4","0, 4",,"1, 2, 3, 5, 6"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,7,"0, 3, 4","0, 3, 4",,"1, 2, 5, 6"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,7,"0, 4, 5","0, 4, 5",,"1, 2, 3, 6"
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,7,"0, 4, 5, 6","0, 4, 5, 6",,"1, 2, 3"
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,14,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, 1, 2, 3, 4, 5, 6, 7, 8, 9",,"10, 11, 12, 13"
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,14,"0, 1, 3, 10","0, 1, 3, 10",,"2, 4, 5, 6, 7, 8, 9, 11, 12, 13"
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,14,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,"11, 12"
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,14,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,"11, 12, 13"
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,14,"0, 1, 3, 10","0, 1, 3, 10",,"2, 4, 5, 6, 7, 8, 9, 11, 12, 13"
