Source,Target,Test Case Number,Migrate,TP,FP,TN,FN
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,11,"0, 2, 4, 5, 10","0, 2, 4, 5",10,"1, 3, 6, 7, 8, 9"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,11,"0, 1, 2, 3, 4, 5, 10","0, 2, 3, 4, 5","1, 10","6, 7, 8, 9"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,11,"0, 2, 3, 4, 5, 10","0, 2, 3, 4, 5",10,"1, 6, 7, 8, 9"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,11,"0, 2, 4, 5","0, 2, 4, 5",,"1, 3, 6, 7, 8, 9, 10"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,11,"0, 1, 2, 3, 4, 5, 10","0, 2, 3, 4, 5","1, 10","6, 7, 8, 9"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,11,"0, 2, 4, 5","0, 2, 4, 5",,"1, 3, 6, 7, 8, 9, 10"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,11,"0, 4, 5","0, 4, 5",,"1, 2, 3, 6, 7, 8, 9, 10"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,11,"0, 1, 2, 4, 5","0, 1, 2","4, 5","3, 6, 7, 8, 9, 10"
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,11,"0, 4, 5","0, 4, 5",,"1, 2, 3, 6, 7, 8, 9, 10"
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,9,"0, 2, 3, 4, 5, 7, 8","0, 2, 3, 4, 5, 7, 8",,1
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,9,"0, 2, 3, 4, 5, 6, 7, 8","0, 2, 3, 4, 5, 6, 7, 8",,1
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,9,"0, 2, 3, 4, 5, 6, 7, 8","0, 2, 3, 4, 5, 6, 7, 8",,1
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,9,"0, 1, 2, 3, 4, 5, 6, 7, 8","0, 1, 2, 3, 4, 5, 6, 7, 8",,
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9,"0, 2, 3, 4, 5, 6, 7, 8","0, 2, 3, 4, 5, 6, 7, 8",,1
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,9,"0, 1, 2, 3, 4, 5, 7, 8","0, 1, 2, 3, 4, 5, 7, 8",,6
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,9,"0, 2, 3, 4, 5, 7","0, 2, 3, 4, 5, 7",,"1, 6, 8"
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,9,"0, 2, 3, 4, 5, 7","0, 2, 3, 4, 5, 7",,"1, 8"
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,9,"0, 2, 3, 4, 5, 7","0, 2, 3, 4, 5, 7",,"1, 6, 8"
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,17,"0, 4, 11, 13, 14, 15","0, 4, 11, 13, 14, 15",,"1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 16"
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,17,"0, 2, 3, 4, 5, 11, 13, 14, 15, 16","0, 2, 3, 4, 5, 11, 13, 14, 15, 16",,1
