Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.24424424424424424
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,3,0.24324324324324326
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,7,0.2882882882882883
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,4,0.24424424424424424
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,6,0.24424424424424424
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.24524524524524524
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.24424424424424424
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.24324324324324326
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.07307307307307308
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,5,0.8868868868868869
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,6,0.07707707707707707
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.07607607607607608
