Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,1,0.0
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,4,0.998998998998999
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.997997997997998
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2,0.001001001001001001
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.998998998998999
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,3,0.997997997997998
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,4,0.998998998998999
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,2,0.001001001001001001
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2,0.001001001001001001
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2,0.034102306920762285
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2,0.46940822467402205
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,2,0.034102306920762285
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,2,0.034102306920762285
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,3,0.5035105315947843
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,3,0.5035105315947843
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,3,0.5035105315947843
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,6,0.966900702106319
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,3,0.5035105315947843
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,4,0.8878878878878879
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,3,0.1061061061061061
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,4,0.8878878878878879
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,4,0.8898898898898899
